Bp_ConsBp_seq_M,Bp_ConsBp_seq_status,Bp_L0HadronDecision_TOS,Bp_L0HadronDecision_TIS,Bp_L0MuonDecision_TIS,Bp_L0ElectronDecision_TIS,Bp_L0PhotonDecision_TIS,Bp_Hlt1TrackMVADecision_TOS,Bp_Hlt1TwoTrackMVADecision_TOS,Bp_Hlt2Topo2BodyDecision_TOS,Bp_Hlt2Topo3BodyDecision_TOS,Bp_Hlt2Topo4BodyDecision_TOS,Bp_ConsBp_seq_decayLength,Bp_ConsBp_seq_tauminus_0_decayLength,Bp_ConsBp_seq_tauminus_decayLength,taup_DIRA_ORIVX,taum_DIRA_ORIVX,Bp_DIRA_OWNPV,taup_ENDVERTEX_X,taum_ENDVERTEX_X,taup_ENDVERTEX_Y,taum_ENDVERTEX_Y,taup_ENDVERTEX_Z,taum_ENDVERTEX_Z,Bp_ConsBp_seq_chi2
5033.235,0.0,True,False,False,False,False,True,True,True,True,True,24.20634,2.0570774,-0.53659856,-0.9992611117519384,0.9999843713717266,0.9999867871688666,-1.0647,-1.2283,-2.1148,-2.3653,-54.5774,-52.135,3.369699
5106.1396,0.0,False,False,False,False,False,True,True,True,True,False,4.3852425,5.8670187,6.3995447,0.9999612163622047,0.9999873051082151,0.9999812036930956,0.0668,-0.006,-0.8713,-0.9292,-67.4922,-68.0503,4.1266346
5105.0137,0.0,False,True,False,False,False,True,True,False,False,False,5.4381475,2.3853545,0.34541547,0.9981035779508254,0.9999976978877988,0.9999836959846906,1.1314,1.0784,0.8065,1.0848,-42.8454,-40.9256,8.496458
-14882.778,0.0,False,False,False,False,False,False,False,False,False,False,8.098034,3.403449,2.4550467,0.999918760842537,0.9999955701856046,0.9999775398773968,0.1169,-0.1719,0.3433,0.5416,34.3226,37.9107,10.937749
4646.108,0.0,True,False,False,False,False,True,True,False,True,True,27.05335,7.8467245,4.8867,0.9999968724561752,0.999997838697604,0.9999699593092944,1.2317,1.2754,-1.9903,-2.1465,57.2628,59.0033,13.565856
5478.824,0.0,False,False,False,False,False,False,False,False,False,False,23.749018,-2.8159394,10.524033,0.9999697324570269,-0.9999405279051464,0.9999898171542236,1.2809,1.1229,-2.0194,-1.1756,56.443,43.3428,3.557913
4972.552,0.0,False,False,False,False,False,False,False,False,False,False,25.555134,3.0785959,1.9410195,0.9999083711464913,0.9999864386190825,0.9999960692012697,-2.5096,-2.7377,0.4379,0.4307,37.0678,38.1756,5.1724887
5017.984,0.0,True,True,False,False,False,True,True,False,True,True,22.388128,2.0686042,2.4086294,0.9999720962312226,0.9999616821291691,0.9999907007516046,2.361,2.335,3.0714,2.9858,-24.6334,-24.9914,3.7009463
5083.561,0.0,False,True,True,False,False,True,True,True,True,True,39.90114,6.212524,0.9572292,0.9891983214097423,0.9999657940523708,0.9999841498540811,3.3674,3.5695,4.9199,5.6136,-8.7437,-3.4742,9.916609
5978.9487,0.0,False,True,False,False,False,True,True,False,False,True,9.025614,-0.11678174,1.7338033,0.999922088137112,0.9991946362518366,0.999995759733434,0.178,0.2862,1.4931,1.325,12.4904,11.0024,7.3843546
